ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
0,Das Cabinet des Dr. Caligari,1920,76,8.0,70000,Robert Wiene,"Carl Mayer, Hans Janowitz",Werner Krauss|Conrad Veidt|Friedrich Feher,Horror|Mystery|Thriller,18000,8811
1,London After Midnight,1927,69,6.6,1500,Tod Browning,"Tod Browning, Waldemar Young, Joseph Farnham",Lon Chaney|Marceline Day|Henry B. Walthall,Horror|Mystery|Thriller,151666,1000000
2,West of Zanzibar,1928,65,7.2,2000,Tod Browning,"Elliott J. Clawson, Chester M. De Vonde, Joseph Farnham",Lon Chaney|Lionel Barrymore|Mary Nolan,Drama|Horror|Mystery,259000,921000
3,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,76,6.4,5000,Charles Lamont,"Lee Loeb, John Grant, Sid Fields",Bud Abbott|Lou Costello|Boris Karloff,Comedy|Horror|Mystery,724805,2616000
4,"The Beast from 20,000 Fathoms",1953,80,6.6,8700,Eugène Lourié,"Lou Morheim, Fred Freiberger, Ray Bradbury",Paul Hubschmid|Paula Raymond|Cecil Kellaway,Horror|Sci-Fi,210000,5000000
5,House of Wax,1953,88,7.0,20000,André De Toth,"Crane Wilbur, Charles Belden",Vincent Price|Frank Lovejoy|Phyllis Kirk,Horror,1000000,23750319
6,It Came from Outer Space,1953,81,6.5,11000,Jack Arnold,"Harry Essex, Ray Bradbury",Richard Carlson|Barbara Rush|Charles Drake,Horror|Sci-Fi,800000,1600000
7,Robot Monster,1953,66,3.0,5500,Phil Tucker,Wyott Ordung,George Nader|Gregory Moffett|Claudia Barrett,Comedy|Family|Horror,16000,1000000
8,Annihilation,2018,115,6.8,362000,Alex Garland,"Alex Garland, Jeff VanderMeer",Natalie Portman|Jennifer Jason Leigh|Tessa Thompson,Adventure|Drama|Horror,40000000,43070915
9,The Pyramid,2014,89,4.6,27000,Grégory Levasseur,"Daniel Meersand, Nick Simon",Ashley Hinshaw|James Buckley|Denis O'Hare,Horror|Mystery|Thriller,6500000,16861137
10,A Haunted House 2,2014,86,4.7,23000,Michael Tiddes,"Marlon Wayans, Rick Alvarez",Marlon Wayans|Jaime Pressly|Cedric The Entertainer,Comedy|Fantasy|Horror,4000000,25343661
11,"As Above, So Below",2014,93,6.2,112000,John Erick Dowdle,"John Erick Dowdle, Drew Dowdle",Perdita Weeks|Ben Feldman|Edwin Hodge,Horror|Mystery|Thriller,5000000,41900000
12,Mischief Night,2013,87,4.6,2000,Richard Schenkman,"Jesse Baget, Richard Schenkman, Eric D. Wilkinson",Noell Coet|Daniel Hugh Kelly|Charlie O'Connell,Drama|Horror|Thriller,108000,57000
13,The Lazarus Effect,2015,83,5.2,46000,David Gelb,"Luke Dawson, Jeremy Slater",Olivia Wilde|Mark Duplass|Evan Peters,Horror|Mystery|Sci-Fi,3300000,64110728
14,47 Meters Down,2017,89,5.6,61000,Johannes Roberts,"Johannes Roberts, Ernest Riera",Mandy Moore|Claire Holt|Matthew Modine,Horror|Mystery|Thriller,5500000,62198461
15,The Circle,2017,93,4.8,519,Peter Callow,"Scott O'Neill, Peter Callow",Edward Baker-Duly|Sesselia Olafs|Griffin Stevens,Drama|Horror|Thriller,18000000,40651864
16,Mallari,2023,129,6.9,248,Roderick Cabrido,Enrico C. Santos,Piolo Pascual|Janella Salvador|Elisse Joson,Crime|Drama|Horror,1350000,3800000
17,The Purge: Anarchy,2014,103,6.4,162000,James DeMonaco,James DeMonaco,Frank Grillo|Carmen Ejogo|Zach Gilford,Action|Horror|Sci-Fi,9000000,111928365
18,13/13/13,2013,86,2.9,2400,James Cullen Bressack,James Cullen Bressack,Trae Ireland|Erin Coker|Jody Barton,Horror,52000000,355237933
19,The Conjuring 2,2016,134,7.3,301000,James Wan,"Chad Hayes, Carey W. Hayes, James Wan",Vera Farmiga|Patrick Wilson|Madison Wolfe,Horror|Mystery|Thriller,40000000,322811702
20,Tusk,2014,102,5.3,63000,Kevin Smith,Kevin Smith,Justin Long|Michael Parks|Haley Joel Osment,Comedy|Horror,3000000,1882074
21,Unearthed & Untold: The Path to Pet Sematary,2017,75,6.9,618,"John Campopiano, Justin White","John Campopiano, Justin White",Brad Greenquist|Sean Clark|Mark E. Anastasio,Documentary|Horror,170000,22834
22,Hazard Jack,2014,82,2.7,612,David Worth,"Annie Margis, Doug Vandegrift, David Worth",Amanda Maddox|Kevin James Sporman|Alison Lani,Horror,30000,8000
23,Honeymoon,2014,87,5.7,28000,Leigh Janiak,"Phil Graziadei, Leigh Janiak",Rose Leslie|Harry Treadaway|Ben Huber,Drama|Fantasy|Horror,1000000,9318
24,Insidious: Chapter 3,2015,97,6.1,119000,Leigh Whannell,Leigh Whannell,Dermot Mulroney|Stefanie Scott|Angus Sampson,Horror|Mystery|Thriller,10000000,120453155
