original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Smile,Smile,en,2022-09-23,1863,114,6,17000000,45000000,115,"Horror, Mystery, Thriller",2022
The Black Phone,The Black Phone,en,2022-06-22,1071,2736,7,18800000,161000000,103,"Horror, Thriller",2022
Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,en,2022-09-15,821,125,5,20000000,2892594,88,"Horror, Mystery, Thriller",2022
Nope,Nope,en,2022-07-20,733,1684,7,68000000,170800000,130,"Horror, Mystery, Science Fiction, Thriller",2022
X,X,en,2022-03-17,543,1035,6,10000000,14257609,106,"Horror, Mystery, Thriller",2022
Dahmer,Dahmer,en,2002-06-21,378,220,5,250000,144008,101,"Drama, Horror",2002
Halloween Kills,Halloween Kills,en,2021-10-14,315,1941,6,20000000,131647155,105,"Horror, Thriller",2021
Scream,Scream,en,2022-01-12,291,1732,6,24000000,140000000,114,"Horror, Mystery, Thriller",2022
Orphan,Orphan,en,2009-07-24,265,4403,7,20000000,77912251,123,"Horror, Mystery, Thriller",2009
Jeepers Creepers 3,Jeepers Creepers 3,en,2017-09-26,246,692,4,6200000,3600000,100,"Horror, Mystery, Thriller",2017
The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,en,2021-05-25,246,4689,7,39000000,201000000,111,"Horror, Mystery, Thriller",2021
Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome to Raccoon City,en,2021-11-24,245,1831,6,40000000,38600612,107,"Action, Horror, Science Fiction",2021
It Chapter Two,It Chapter Two,en,2019-09-04,230,7221,6,79000000,473122525,170,"Fantasy, Horror",2019
The Unholy,The Unholy,en,2021-03-31,207,1737,6,10000000,30833138,99,"Horror, Mystery",2021
The Forever Purge,The Forever Purge,en,2021-06-30,198,1904,7,18000000,76994245,103,"Action, Horror, Thriller",2021
Don't Breathe 2,Don't Breathe 2,en,2021-08-12,196,1847,7,10000000,45000000,98,"Horror, Thriller",2021
Jeepers Creepers,Jeepers Creepers,en,2001-07-01,195,2395,6,10000000,59217789,90,"Horror, Thriller",2001
The Conjuring,The Conjuring,en,2013-07-18,173,9735,7,13000000,319494638,112,"Horror, Thriller",2013
Jeepers Creepers 2,Jeepers Creepers 2,en,2003-08-08,169,1287,6,17000000,63102666,104,Horror,2003
The Invitation,The Invitation,en,2022-08-24,168,176,6,10000000,30000000,105,"Horror, Thriller",2022
Halloween,Halloween,en,2018-10-18,158,3974,6,10000000,253688035,106,"Horror, Thriller",2018
A Quiet Place Part II,A Quiet Place Part II,en,2021-05-21,153,4721,7,61000000,297372261,97,"Horror, Science Fiction, Thriller",2021
Old,Old,en,2021-07-21,148,3080,6,18000000,90112510,108,"Horror, Mystery, Thriller",2021
Bride of Chucky,Bride of Chucky,en,1998-10-16,139,1495,6,25000000,50671850,89,"Comedy, Horror",1998
The Conjuring 2,The Conjuring 2,en,2016-06-08,137,7061,7,40000000,320392818,134,"Horror, Thriller",2016
World War Z,World War Z,en,2013-06-20,131,13440,6,200000000,531865000,116,"Action, Drama, Horror, Science Fiction, Thriller",2013
The Nun,The Nun,en,2018-09-05,131,5393,5,22000000,365550119,96,"Horror, Mystery, Thriller",2018
A Haunted House 2,A Haunted House 2,en,2014-04-17,125,1126,6,4000000,25343661,87,"Comedy, Horror",2014
Constantine,Constantine,en,2005-02-08,119,5863,7,100000000,230884728,121,"Action, Fantasy, Horror",2005
The Meg,The Meg,en,2018-08-09,116,6068,6,150000000,530243742,113,"Action, Horror, Science Fiction",2018
Cult of Chucky,Cult of Chucky,en,2017-10-23,116,959,5,6500000,2200000,91,"Horror, Thriller",2017
The Addams Family,The Addams Family,en,2019-10-10,116,1851,6,40000000,203044905,86,"Animation, Comedy, Family, Fantasy, Horror",2019
Legion,Legion,en,2010-01-21,110,2190,5,26000000,67918658,100,"Action, Fantasy, Horror",2010
Halloween,Halloween,en,1978-10-24,109,4421,7,325000,70274000,91,"Horror, Thriller",1978
Child's Play,Child's Play,en,1988-11-09,108,2335,6,9000000,44196684,87,Horror,1988
A Haunted House,A Haunted House,en,2013-01-11,108,1499,5,2500000,60141683,86,"Comedy, Horror",2013
The First Purge,The First Purge,en,2018-07-04,108,3413,6,13000000,137056262,97,"Action, Horror, Thriller",2018
It,It,en,2017-09-06,106,16900,7,35000000,701842551,135,"Fantasy, Horror",2017
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,en,2012-06-20,103,2855,5,69000000,116471580,94,"Action, Fantasy, Horror",2012
Barbarian,Barbarian,en,2022-09-08,102,61,7,10500000,30000000,103,"Horror, Mystery, Thriller",2022
Seed of Chucky,Seed of Chucky,en,2004-11-11,102,1252,5,12000000,24829644,87,"Comedy, Horror",2004
The Exorcist,The Exorcist,en,1973-12-26,101,6535,7,11000000,441306145,122,Horror,1973
Child's Play 2,Child's Play 2,en,1990-11-09,97,1434,6,13000000,35763605,84,"Horror, Thriller",1990
Halloween,Halloween,en,2007-08-31,97,1873,6,15000000,80460948,109,Horror,2007
Titane,Titane,fr,2021-07-14,96,903,6,6600000,5115725,108,"Drama, Horror, Thriller",2021
부산행,Train to Busan,ko,2016-07-20,94,5939,7,8500000,87547518,118,"Action, Horror, Science Fiction, Thriller",2016
Saw,Saw,en,2004-10-01,93,7650,7,1200000,103911669,103,"Crime, Horror, Mystery",2004
The Purge: Election Year,The Purge: Election Year,en,2016-06-29,91,4614,6,10000000,118587880,105,"Action, Horror, Thriller",2016
The Curse of La Llorona,The Curse of La Llorona,en,2019-04-17,90,1998,5,9000000,122033739,93,"Horror, Thriller",2019
Wrong Turn,Wrong Turn,en,2003-05-30,90,2127,6,12600000,28650575,84,"Horror, Thriller",2003
Child's Play 3,Child's Play 3,en,1991-08-30,89,1234,5,13000000,20560255,90,"Horror, Thriller",1991
The Hunt,The Hunt,en,2020-03-11,88,2477,6,14000000,42415898,90,"Action, Horror, Thriller",2020
Annabelle Comes Home,Annabelle Comes Home,en,2019-06-26,88,2870,6,30000000,231252591,106,"Horror, Mystery, Thriller",2019
Malignant,Malignant,en,2021-09-01,88,1647,6,40000000,24640084,111,"Horror, Mystery, Thriller",2021
The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,en,2003-05-21,86,2163,6,9500000,107363905,98,Horror,2003
Split,Split,en,2016-11-15,85,15360,7,9000000,278454358,117,"Horror, Thriller",2016
Hereditary,Hereditary,en,2018-06-07,84,6057,7,10000000,80239658,128,"Horror, Mystery, Thriller",2018
Final Destination,Final Destination,en,2000-03-17,83,4585,6,23000000,112880294,98,Horror,2000
Curse of Chucky,Curse of Chucky,en,2013-10-04,82,1280,5,5000000,3800000,97,"Horror, Thriller",2013
Child's Play,Child's Play,en,2019-06-19,82,1608,6,10000000,44902237,90,Horror,2019
Last Night in Soho,Last Night in Soho,en,2021-10-21,81,2031,7,43000000,22957625,117,"Fantasy, Horror, Mystery, Thriller",2021
The Purge,The Purge,en,2013-05-31,81,7386,6,3000000,89328627,86,"Horror, Science Fiction, Thriller",2013
Annabelle: Creation,Annabelle: Creation,en,2017-08-03,81,4859,6,15000000,306515884,110,"Horror, Mystery, Thriller",2017
El orfanato,The Orphanage,es,2007-05-20,76,2442,7,3400000,78638987,105,"Drama, Horror, Thriller",2007
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,en,2013-01-17,75,6015,6,50000000,226349749,88,"Action, Fantasy, Horror",2013
The Ring,The Ring,en,2002-10-18,73,5208,6,48000000,249348933,115,"Horror, Mystery",2002
Final Destination 5,Final Destination 5,en,2011-08-12,73,2809,6,47000000,157887643,92,"Horror, Mystery",2011
Alien: Covenant,Alien: Covenant,en,2017-05-09,73,7298,6,97000000,240891763,122,"Horror, Mystery, Science Fiction",2017
Insidious,Insidious,en,2010-09-13,73,5689,6,1500000,97009150,103,"Horror, Thriller",2010
Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,en,2007-12-25,73,2334,5,40000000,130290885,94,"Action, Fantasy, Horror, Science Fiction, Thriller",2007
Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,en,2014-01-01,73,1235,5,5000000,86362372,84,"Horror, Thriller",2014
Goosebumps,Goosebumps,en,2015-08-05,72,3302,6,58000000,158162788,103,"Adventure, Comedy, Horror",2015
Freddy vs. Jason,Freddy vs. Jason,en,2003-08-15,72,2084,6,30000000,116643421,97,Horror,2003
Paranormal Activity,Paranormal Activity,en,2007-09-14,71,4309,6,215000,194183034,85,"Horror, Mystery",2007
The Texas Chainsaw Massacre: The Beginning,The Texas Chainsaw Massacre: The Beginning,en,2006-10-05,69,1445,6,16000000,107363905,91,"Horror, Thriller",2006
The Witch,The Witch,en,2015-01-27,69,5790,6,3500000,40423945,92,"Drama, Fantasy, Horror, Mystery",2015
[REC],[REC],es,2007-11-23,68,3576,7,1500000,32511655,78,"Horror, Mystery",2007
Get Out,Get Out,en,2017-02-24,68,14721,7,4500000,255407969,104,"Horror, Mystery, Thriller",2017
The Ruins,The Ruins,en,2008-04-02,68,908,5,8000000,22818256,91,Horror,2008
Annabelle,Annabelle,en,2014-10-02,68,5341,5,6500000,257047661,99,Horror,2014
Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,en,1988-10-21,68,1311,6,5000000,17800000,88,"Horror, Thriller",1988
Insidious: Chapter 2,Insidious: Chapter 2,en,2013-09-12,68,3528,6,5000000,161000000,106,"Horror, Thriller",2013
Scream,Scream,en,1996-12-20,67,5318,7,14000000,173046663,112,"Crime, Horror, Mystery",1996
The Human Centipede (First Sequence),The Human Centipede (First Sequence),en,2009-04-26,67,1772,5,2011799,252207,92,Horror,2009
Underworld: Awakening,Underworld: Awakening,en,2012-01-19,67,3573,6,70000000,160112671,88,"Action, Fantasy, Horror",2012
Final Destination 3,Final Destination 3,en,2006-02-09,67,3174,6,25000000,118890272,93,"Horror, Mystery",2006
Spiral: From the Book of Saw,Spiral: From the Book of Saw,en,2021-05-12,67,1362,6,20000000,40618920,93,"Crime, Horror, Mystery",2021
