original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Smile,Smile,en,2022-09-23,1863.628,114.0,6.8,17000000.0,45000000.0,115.0,"Horror, Mystery, Thriller",2022
The Black Phone,The Black Phone,en,2022-06-22,1071.398,2736.0,7.9,18800000.0,161000000.0,103.0,"Horror, Thriller",2022
Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,en,2022-09-15,821.605,125.0,5.8,20000000.0,2892594.0,88.0,"Horror, Mystery, Thriller",2022
Nope,Nope,en,2022-07-20,733.112,1684.0,7.0,68000000.0,170800000.0,130.0,"Horror, Mystery, Science Fiction, Thriller",2022
X,X,en,2022-03-17,543.67,1035.0,6.8,10000000.0,14257609.0,106.0,"Horror, Mystery, Thriller",2022
Dahmer,Dahmer,en,2002-06-21,378.39,220.0,5.2,250000.0,144008.0,101.0,"Drama, Horror",2002
Halloween Kills,Halloween Kills,en,2021-10-14,315.027,1941.0,6.7,20000000.0,131647155.0,105.0,"Horror, Thriller",2021
Scream,Scream,en,2022-01-12,291.196,1732.0,6.7,24000000.0,140000000.0,114.0,"Horror, Mystery, Thriller",2022
Orphan,Orphan,en,2009-07-24,265.858,4403.0,7.0,20000000.0,77912251.0,123.0,"Horror, Mystery, Thriller",2009
Jeepers Creepers 3,Jeepers Creepers 3,en,2017-09-26,246.189,692.0,4.9,6200000.0,3600000.0,100.0,"Horror, Mystery, Thriller",2017
The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,en,2021-05-25,246.13,4689.0,7.6,39000000.0,201000000.0,111.0,"Horror, Mystery, Thriller",2021
Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome to Raccoon City,en,2021-11-24,245.332,1831.0,6.1,40000000.0,38600612.0,107.0,"Action, Horror, Science Fiction",2021
It Chapter Two,It Chapter Two,en,2019-09-04,230.451,7221.0,6.9,79000000.0,473122525.0,170.0,"Fantasy, Horror",2019
The Unholy,The Unholy,en,2021-03-31,207.113,1737.0,6.7,10000000.0,30833138.0,99.0,"Horror, Mystery",2021
The Forever Purge,The Forever Purge,en,2021-06-30,198.269,1904.0,7.2,18000000.0,76994245.0,103.0,"Action, Horror, Thriller",2021
Don't Breathe 2,Don't Breathe 2,en,2021-08-12,196.003,1847.0,7.3,10000000.0,45000000.0,98.0,"Horror, Thriller",2021
Jeepers Creepers,Jeepers Creepers,en,2001-07-01,195.983,2395.0,6.4,10000000.0,59217789.0,90.0,"Horror, Thriller",2001
The Conjuring,The Conjuring,en,2013-07-18,173.527,9735.0,7.5,13000000.0,319494638.0,112.0,"Horror, Thriller",2013
Jeepers Creepers 2,Jeepers Creepers 2,en,2003-08-08,169.063,1287.0,6.1,17000000.0,63102666.0,104.0,Horror,2003
The Invitation,The Invitation,en,2022-08-24,168.001,176.0,6.3,10000000.0,30000000.0,105.0,"Horror, Thriller",2022
Halloween,Halloween,en,2018-10-18,158.374,3974.0,6.5,10000000.0,253688035.0,106.0,"Horror, Thriller",2018
A Quiet Place Part II,A Quiet Place Part II,en,2021-05-21,153.956,4721.0,7.6,61000000.0,297372261.0,97.0,"Horror, Science Fiction, Thriller",2021
Old,Old,en,2021-07-21,148.823,3080.0,6.5,18000000.0,90112510.0,108.0,"Horror, Mystery, Thriller",2021
Bride of Chucky,Bride of Chucky,en,1998-10-16,139.831,1495.0,6.0,25000000.0,50671850.0,89.0,"Comedy, Horror",1998
The Conjuring 2,The Conjuring 2,en,2016-06-08,137.18,7061.0,7.3,40000000.0,320392818.0,134.0,"Horror, Thriller",2016
World War Z,World War Z,en,2013-06-20,131.399,13440.0,6.8,200000000.0,531865000.0,116.0,"Action, Drama, Horror, Science Fiction, Thriller",2013
The Nun,The Nun,en,2018-09-05,131.032,5393.0,5.8,22000000.0,365550119.0,96.0,"Horror, Mystery, Thriller",2018
A Haunted House 2,A Haunted House 2,en,2014-04-17,125.807,1126.0,6.0,4000000.0,25343661.0,87.0,"Comedy, Horror",2014
Constantine,Constantine,en,2005-02-08,119.677,5863.0,7.0,100000000.0,230884728.0,121.0,"Action, Fantasy, Horror",2005
The Meg,The Meg,en,2018-08-09,116.512,6068.0,6.2,150000000.0,530243742.0,113.0,"Action, Horror, Science Fiction",2018
Cult of Chucky,Cult of Chucky,en,2017-10-23,116.318,959.0,5.8,6500000.0,2200000.0,91.0,"Horror, Thriller",2017
The Addams Family,The Addams Family,en,2019-10-10,116.021,1851.0,6.6,40000000.0,203044905.0,86.0,"Animation, Comedy, Family, Fantasy, Horror",2019
Legion,Legion,en,2010-01-21,110.404,2190.0,5.8,26000000.0,67918658.0,100.0,"Action, Fantasy, Horror",2010
Halloween,Halloween,en,1978-10-24,109.29,4421.0,7.6,325000.0,70274000.0,91.0,"Horror, Thriller",1978
Child's Play,Child's Play,en,1988-11-09,108.342,2335.0,6.6,9000000.0,44196684.0,87.0,Horror,1988
A Haunted House,A Haunted House,en,2013-01-11,108.186,1499.0,5.8,2500000.0,60141683.0,86.0,"Comedy, Horror",2013
The First Purge,The First Purge,en,2018-07-04,108.11,3413.0,6.0,13000000.0,137056262.0,97.0,"Action, Horror, Thriller",2018
It,It,en,2017-09-06,106.786,16900.0,7.2,35000000.0,701842551.0,135.0,"Fantasy, Horror",2017
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,en,2012-06-20,103.0,2855.0,5.7,69000000.0,116471580.0,94.0,"Action, Fantasy, Horror",2012
Barbarian,Barbarian,en,2022-09-08,102.826,61.0,7.2,10500000.0,30000000.0,103.0,"Horror, Mystery, Thriller",2022
Seed of Chucky,Seed of Chucky,en,2004-11-11,102.731,1252.0,5.4,12000000.0,24829644.0,87.0,"Comedy, Horror",2004
The Exorcist,The Exorcist,en,1973-12-26,101.991,6535.0,7.7,11000000.0,441306145.0,122.0,Horror,1973
Child's Play 2,Child's Play 2,en,1990-11-09,97.858,1434.0,6.2,13000000.0,35763605.0,84.0,"Horror, Thriller",1990
Halloween,Halloween,en,2007-08-31,97.161,1873.0,6.2,15000000.0,80460948.0,109.0,Horror,2007
Titane,Titane,fr,2021-07-14,96.198,903.0,6.5,6600000.0,5115725.0,108.0,"Drama, Horror, Thriller",2021
부산행,Train to Busan,ko,2016-07-20,94.624,5939.0,7.8,8500000.0,87547518.0,118.0,"Action, Horror, Science Fiction, Thriller",2016
Saw,Saw,en,2004-10-01,93.053,7650.0,7.4,1200000.0,103911669.0,103.0,"Crime, Horror, Mystery",2004
