registration_number,postal_code,transaction_value,transaction_date,built_area,latitude,longitude,neighborhood
5101800457.0,03144-080,500000,2021-12-21,65,-23.5960406,-46.5745097,Vila Lucia
18312000312.0,05782-470,413000,2021-12-22,63,-23.6503856,-46.7658361,Parque Munhoz
12409110699.0,05171-600,380000,2021-12-22,178,-23.4736143,-46.7501658,Conjunto Residencial Vista Verde
10920000478.0,02355-000,1050000,2021-12-21,357,-23.4561641,-46.6124753,Jardim Virginia Bianca
5914000998.0,03662-020,345000,2021-12-23,60,-23.522384,-46.4977634,Vila Ré
12411600568.0,05176-210,390000,2021-12-28,69,-23.4681474,-46.7463709,Vila Clarice
7002103611.0,02372-100,1290000,2021-12-27,242,-23.4614271,-46.6251369,Tremembé
5809901859.0,03511-000,500000,2021-12-28,104,-23.5345809,-46.5260404,Vila Matilde
8420000019.0,05511-020,3200000,2021-12-30,364,-23.575489,-46.70787259999999,Butantã
9005400374.0,04648-073,1750000,2021-12-23,300,-23.6504715,-46.675256,Vila Nova Caledonia
11635300907.0,03474-020,240000,2021-12-29,94,-23.5738456,-46.5149082,Vila Antonieta
11306000725.0,03546-010,842000,2021-12-30,275,-23.5386578,-46.50940689999999,Cidade Patriarca
18312201581.0,05782-370,162525,2022-01-07,100,-23.6516019,-46.7687077,Parque Munhoz
11258300035.0,08060-300,150000,2022-01-04,80,-23.5049218,-46.4484092,Vila Jacuí
10100800067.0,05356-020,800000,2021-12-29,307,-23.5614173,-46.74973259999999,Cidade São Francisco
30507000657.0,02615-100,650000,2022-01-03,124,-23.4704627,-46.6567295,Vila Amélia
13321500697.0,08111-040,140000,2022-01-03,80,-23.4897711,-46.3919468,Vila Itaim
9514700104.0,04789-010,1250000,2021-12-28,286,-23.7082325,-46.7081197,Interlagos
14404203445.0,08290-001,310000,2021-12-22,66,-23.5571792,-46.4490686,Vila Carmosina
11285704532.0,08031-760,240000,2021-12-29,81,-23.5065096,-46.4247392,Vila Curuçá
20101900250.0,05571-180,237826,2022-01-03,89,-23.6008097,-46.7994086,Parque Ipe
11331700689.0,03562-000,350000,2022-01-03,143,-23.5437343,-46.4964935,Vila Nhocuné
12304000869.0,05634-060,500000,2022-01-10,158,-23.602468,-46.7392491,Jardim Monte Kemel
16036500849.0,05386-320,880000,2022-01-03,211,-23.5631329,-46.7591092,Vila São Silvestre
10508100967.0,05172-270,320000,2021-12-30,75,-23.4812642,-46.7458847,Vila Pirituba
11436700573.0,08225-060,350883,2022-01-06,142,-23.5310859,-46.4572329,Vila Regina ( Zona Leste)
30010700517.0,05679-165,3500000,2021-12-23,376,-23.6040661,-46.701929,Jardim Panorama
14609900350.0,03583-180,310000,2021-12-29,85,-23.5643214,-46.4926512,Jardim Brasília (Zona Leste)
17614600907.0,04843-470,81000,2022-01-05,60,-23.7440952,-46.6956868,Parque Sao Jose
11313500886.0,03560-000,280000,2021-12-10,54,-23.5466089,-46.4998686,Vila Nhocuné
9022000087.0,04649-040,1000000,2021-12-30,225,-23.6550289,-46.6732811,Jardim Prudência
13019900068.0,03820-000,500000,2022-01-06,121,-23.497224,-46.505451,Vila Silvia
11815200366.0,03269-020,750000,2022-01-08,150,-23.59763,-46.52513769999999,Vila Tolstoi
8942900704.0,04358-070,830000,2021-12-30,140,-23.6400555,-46.6576635,Parque Jabaquara
1507100418.0,01440-010,7800000,2021-12-23,496,-23.5709284,-46.6795787,Jardim America
21402000233.0,02998-020,360000,2021-12-22,73,-23.4405589,-46.7274606,Jaraguá
15302400161.0,03977-090,372000,2021-12-15,140,-23.6162359,-46.4965605,Conjunto Habitacional Marechal Mascarenhas de Morais
5824100462.0,03548-000,300000,2021-12-29,81,-23.5397936,-46.510933,Cidade Patriarca
14509400011.0,08280-600,420000,2022-01-05,228,-23.5655332,-46.4722077,Jardim Nossa Senhora do Carmo
12312301147.0,05658-010,2000000,2022-01-06,677,-23.6039734,-46.723414,Jardim Leonor
9506800340.0,04802-120,680000,2022-01-11,181,-23.709484,-46.7045002,Jardim São Nicolau
12516200357.0,05138-260,700000,2021-12-28,143,-23.4822801,-46.734099,Jardim Pinheiros
12416401717.0,05171-030,495000,2021-12-30,83,-23.4793363,-46.7513824,Conjunto Residencial Vista Verde
19906000685.0,05104-060,300000,2022-01-07,170,-23.5132973,-46.7561758,Vila Santa Edwiges
13907400924.0,08032-560,288000,2021-12-28,51,-23.5212606,-46.4299895,Vila Nova Curuca
8124500096.0,05439-120,6817203,2021-12-30,337,-23.5489119,-46.6869837,Jardim das Bandeiras
8815819703.0,04747-090,800000,2021-12-29,172,-23.6567301,-46.6965203,Santo Amaro
6114803639.0,03641-010,311000,2022-01-04,69,-23.5244791,-46.5377845,Penha de França
10917203444.0,02378-080,300000,2022-01-06,66,-23.4522662,-46.6296596,Horto Florestal
14503500634.0,08280-140,450000,2022-01-06,98,-23.5607544,-46.476416,Cidade Líder
7035002601.0,02348-060,200000,2022-01-07,171,-23.4614026,-46.6122972,Jardim Leonor Mendes de Barros
12117002438.0,04469-000,250000,2022-01-13,123,-23.6935944,-46.6692629,Vila dos Andradas
13407700171.0,08160-000,260000,2022-01-07,141,-23.5035895,-46.411228,Jardim Silva Teles
6750500390.0,02317-170,547000,2022-01-06,335,-23.4585579,-46.5898177,Jardim Guapira
17313500350.0,04432-040,300000,2022-01-10,40,-23.6861263,-46.6635182,Jardim São Jorge
