registration_number,postal_code,transaction_value,transaction_date,built_area
5101800457.0,03144-080,500000,2021-12-21,65
18312000312.0,05782-470,413000,2021-12-22,63
12409110699.0,05171-600,380000,2021-12-22,178
10920000478.0,02355-000,1050000,2021-12-21,357
5914000998.0,03662-020,345000,2021-12-23,60
12411600568.0,05176-210,390000,2021-12-28,69
7002103611.0,02372-100,1290000,2021-12-27,242
5809901859.0,03511-000,500000,2021-12-28,104
8420000019.0,05511-020,3200000,2021-12-30,364
9005400374.0,04648-073,1750000,2021-12-23,300
11635300907.0,03474-020,240000,2021-12-29,94
11306000725.0,03546-010,842000,2021-12-30,275
18312201581.0,05782-370,162525,2022-01-07,100
11258300035.0,08060-300,150000,2022-01-04,80
10100800067.0,05356-020,800000,2021-12-29,307
30507000657.0,02615-100,650000,2022-01-03,124
13321500697.0,08111-040,140000,2022-01-03,80
9514700104.0,04789-010,1250000,2021-12-28,286
14404203445.0,08290-001,310000,2021-12-22,66
11285704532.0,08031-760,240000,2021-12-29,81
20101900250.0,05571-180,237826,2022-01-03,89
11331700689.0,03562-000,350000,2022-01-03,143
12304000869.0,05634-060,500000,2022-01-10,158
16036500849.0,05386-320,880000,2022-01-03,211
10508100967.0,05172-270,320000,2021-12-30,75
11436700573.0,08225-060,350883,2022-01-06,142
30010700517.0,05679-165,3500000,2021-12-23,376
14609900350.0,03583-180,310000,2021-12-29,85
17614600907.0,04843-470,81000,2022-01-05,60
11313500886.0,03560-000,280000,2021-12-10,54
9022000087.0,04649-040,1000000,2021-12-30,225
13019900068.0,03820-000,500000,2022-01-06,121
11815200366.0,03269-020,750000,2022-01-08,150
8942900704.0,04358-070,830000,2021-12-30,140
1507100418.0,01440-010,7800000,2021-12-23,496
21402000233.0,02998-020,360000,2021-12-22,73
15302400161.0,03977-090,372000,2021-12-15,140
5824100462.0,03548-000,300000,2021-12-29,81
14509400011.0,08280-600,420000,2022-01-05,228
12312301147.0,05658-010,2000000,2022-01-06,677
9506800340.0,04802-120,680000,2022-01-11,181
12516200357.0,05138-260,700000,2021-12-28,143
12416401717.0,05171-030,495000,2021-12-30,83
19906000685.0,05104-060,300000,2022-01-07,170
13907400924.0,08032-560,288000,2021-12-28,51
8124500096.0,05439-120,6817203,2021-12-30,337
8815819703.0,04747-090,800000,2021-12-29,172
6114803639.0,03641-010,311000,2022-01-04,69
10917203444.0,02378-080,300000,2022-01-06,66
14503500634.0,08280-140,450000,2022-01-06,98
7035002601.0,02348-060,200000,2022-01-07,171
12117002438.0,04469-000,250000,2022-01-13,123
13407700171.0,08160-000,260000,2022-01-07,141
6750500390.0,02317-170,547000,2022-01-06,335
17313500350.0,04432-040,300000,2022-01-10,40
17904000341.0,04945-020,88179,2022-01-07,90
11032300077.0,03878-020,427000,2021-11-30,97
4904101006.0,04290-030,1700000,2022-01-07,336
12103902581.0,04455-300,610000,2021-12-30,151
